Protein,A1,A2,A3,A4,A5,A6,A7,A8,B9,B10,B11,B12,B13,B14,B15,B16
Tmem87a,152079.375,64413.75390625,65042.3515625,0.0,14353.615234375,24561.2578125,50529.93359375,35352.47265625,75853.546875,91789.859375,62068.7109375,80441.5078125,84799.296875,78614.96875,66143.21875,60800.49609375
Tmem9,0.0,0.0,1661.10290527343,0.0,0.0,6521.0087890625,4405.23974609375,3686.49365234375,7511.72412109375,9709.984375,4605.55224609375,0.0,6046.19189453125,9989.8154296875,0.0,6448.01318359375
Tmem9b,0.0,0.0,24737.703125,0.0,0.0,0.0,0.0,0.0,25093.138671875,33917.2109375,34758.15234375,37406.07421875,51497.5,0.0,16695.462890625,24780.525390625
Tmf1,27675.349609375,47656.75390625,26612.708984375,69449.0234375,60265.5078125,36210.73828125,24243.2578125,25032.876953125,25666.46875,28130.94921875,33773.52734375,39592.8359375,26319.09765625,35798.54296875,28509.599609375,31001.89453125
Tmlhe,111091.59375,257398.96875,91266.3359375,259193.0,184306.578125,89763.765625,77250.5390625,61410.76953125,79053.8203125,63748.02734375,73176.953125,47360.9921875,71162.265625,74041.4921875,74976.5625,70572.3359375
Tmod1,111208.640625,159227.5,158134.375,136516.859375,27423.84765625,124807.21875,82687.6484375,101257.0390625,12665.5888671875,38848.640625,51150.015625,62030.85546875,41562.4296875,54501.5,30025.19140625,38967.234375
Tmod3,876565.0625,857807.8125,833370.0625,1036064.375,660742.75,757985.125,627656.1875,696151.25,739087.375,847079.0625,791584.0,784607.5,884828.0,1045921.0625,869317.875,824818.75
Tmpo,44355.65234375,89248.3515625,59789.546875,90285.9609375,179048.734375,45532.6796875,65068.2109375,45927.296875,57314.1328125,62014.703125,49145.05859375,81206.6484375,90688.234375,85762.6796875,66376.203125,62901.4765625
Tmsb4x,72868.1171875,188947.921875,286412.78125,107714.890625,179588.53125,288816.03125,241342.53125,104645.0078125,89076.453125,68857.359375,198009.90625,127565.6796875,63728.33203125,30493.11328125,8806.6611328125,41879.15234375
Tmub1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7098.30419921875,0.0,26654.41015625,9121.001953125,20627.5078125,16708.94140625,29246.884765625,0.0,0.0
Tmx1,185322.21875,229271.203125,176685.671875,206683.84375,627335.4375,113236.375,286541.5625,168802.90625,158252.6875,193971.71875,113588.1328125,195004.96875,266002.75,235082.453125,182249.421875,198113.3125
Tmx2,60859.4765625,161608.421875,0.0,0.0,94277.1875,0.0,61475.890625,40832.17578125,30350.69921875,77948.6015625,36540.6328125,72353.2734375,82150.2421875,67957.8125,35942.41015625,45671.6796875
